1672531200000,246.30000000,246.70000000,243.40000000,244.40000000,109450.11700000,1672617599999,26767261.71920000,79606,53389.91900000,13056172.43630000,0
1672617600000,244.50000000,247.90000000,240.70000000,245.20000000,173452.90000000,1672703999999,42566621.72650000,118257,88934.90300000,21832049.18270000,0
1672704000000,245.30000000,247.00000000,244.40000000,246.10000000,115059.99100000,1672790399999,28259473.53230000,98320,55910.33400000,13735808.94320000,0
1672790400000,246.20000000,261.00000000,245.60000000,258.90000000,370055.08200000,1672876799999,94459376.81910000,193907,193375.97100000,49340799.86540000,0
1672876800000,258.90000000,259.20000000,255.20000000,256.70000000,145297.96300000,1672963199999,37361134.40440000,110069,70478.93600000,18128067.23730000,0
1672963200000,256.70000000,260.70000000,254.20000000,259.90000000,199497.07600000,1673049599999,51368774.99270000,133584,101288.34600000,26087898.26970000,0
1673049600000,259.90000000,263.90000000,259.40000000,261.30000000,115152.77000000,1673135999999,30088933.44580000,101015,59770.64800000,15620335.89980000,0
1673136000000,261.30000000,276.50000000,260.10000000,274.90000000,237308.89000000,1673222399999,63256842.68630000,159558,125570.72000000,33500845.94220000,0
1673222400000,274.90000000,283.50000000,271.30000000,272.60000000,437828.42800000,1673308799999,121659068.73800000,296847,234500.87300000,65166641.52900000,0
1673308800000,272.60000000,278.80000000,270.20000000,277.10000000,259938.56200000,1673395199999,71544603.70470000,193227,133367.13100000,36713650.07570000,0
1673395200000,277.20000000,287.70000000,274.10000000,284.80000000,266107.30400000,1673481599999,74166049.41770000,185244,140191.65300000,39110383.23130000,0
1673481600000,284.90000000,288.60000000,278.50000000,287.70000000,391553.64100000,1673567999999,111464592.04180000,279121,199530.38600000,56827412.53410000,0
1673568000000,287.80000000,296.00000000,284.90000000,293.70000000,313541.81100000,1673654399999,90714499.34650000,254385,163406.46200000,47281616.32120000,0
1673654400000,293.70000000,314.40000000,293.10000000,305.10000000,706402.08700000,1673740799999,215777694.13000000,544551,374279.61400000,114302715.65010000,0
1673740800000,305.20000000,306.10000000,291.80000000,302.20000000,288696.86800000,1673827199999,86365136.01700000,269807,143852.10200000,43025652.59050000,0
1673827200000,302.20000000,308.10000000,293.10000000,299.00000000,350990.99300000,1673913599999,105546343.55220000,282785,184211.26100000,55377643.31740000,0
1673913600000,299.00000000,305.80000000,294.90000000,299.40000000,279993.87600000,1673999999999,84301030.89810000,242595,142831.98700000,43017682.53380000,0
1674000000000,299.40000000,305.30000000,281.10000000,286.70000000,621064.66500000,1674086399999,182302178.06080000,424163,302494.96500000,88879935.24420000,0
1674086400000,286.70000000,295.50000000,286.10000000,294.60000000,215522.14600000,1674172799999,62586318.15610000,188757,115752.37800000,33621204.17110000,0
1674172800000,294.60000000,305.40000000,286.60000000,305.10000000,423829.13600000,1674259199999,124835179.12990000,273051,223710.01800000,65921980.39820000,0
1674259200000,305.10000000,309.90000000,298.40000000,299.00000000,508000.02400000,1674345599999,154262036.48910000,335988,255840.43600000,77722693.91560000,0
1674345600000,299.10000000,311.40000000,298.50000000,303.00000000,388815.19200000,1674431999999,118074364.34410000,296818,196176.90400000,59600607.85850000,0
1674432000000,303.10000000,307.80000000,300.80000000,305.10000000,301946.00500000,1674518399999,92048016.75070000,263527,155960.64200000,47553823.45120000,0
1674518400000,305.20000000,323.50000000,299.20000000,300.30000000,629758.27900000,1674604799999,197286790.18940000,403898,309769.77400000,97067733.79810000,0
1674604800000,300.30000000,314.00000000,293.40000000,306.90000000,447238.53900000,1674691199999,135182951.95630000,317506,227118.78000000,68644674.93630000,0
1674691200000,306.90000000,309.50000000,301.60000000,304.70000000,342344.70500000,1674777599999,104832628.04880000,263764,170220.66500000,52132060.22260000,0
1674777600000,304.80000000,310.50000000,298.80000000,308.00000000,271326.79000000,1674863999999,82710629.23530000,240434,138274.59800000,42165021.33420000,0
1674864000000,308.00000000,313.60000000,303.60000000,306.10000000,229517.80000000,1674950399999,70543615.96290000,186520,115277.08600000,35430779.07940000,0
1674950400000,306.20000000,320.50000000,304.80000000,317.20000000,430698.67300000,1675036799999,135402894.46230000,262551,212574.34400000,66831680.94540000,0
1675036800000,317.10000000,320.80000000,302.00000000,307.20000000,413716.21200000,1675123199999,128037381.12610000,310394,202140.89600000,62572558.29320000,0
1675123200000,307.20000000,314.40000000,305.30000000,312.00000000,278061.95800000,1675209599999,86537029.20930000,225513,138639.83300000,43148294.68450000,0
1675296000000,317.10000000,334.40000000,316.30000000,323.50000000,587655.88100000,1675382399999,192390747.65790000,380701,297338.99400000,97314912.39240000,0
1675382400000,323.50000000,335.50000000,318.30000000,332.20000000,579577.16200000,1675468799999,190507194.79020000,341331,291079.65800000,95651028.85020000,0
1675468800000,332.30000000,334.10000000,327.00000000,330.40000000,212109.62600000,1675555199999,70050858.83770000,194840,109723.67400000,36236495.96420000,0
1675555200000,330.40000000,337.80000000,324.00000000,327.80000000,396514.71100000,1675641599999,130706234.81600000,303406,199932.40500000,65908041.99540000,0
1675641600000,327.80000000,331.50000000,320.70000000,324.30000000,290965.00000000,1675727999999,95098301.35220000,223884,144140.51800000,47117808.68520000,0
1675728000000,324.40000000,333.70000000,323.20000000,333.00000000,265904.83300000,1675814399999,87505720.49590000,253444,134740.20200000,44360441.11100000,0
1675814400000,333.10000000,335.80000000,323.60000000,328.20000000,286865.86700000,1675900799999,94531270.45920000,253535,139576.04800000,46007091.46970000,0
1675900800000,328.20000000,329.30000000,302.00000000,306.20000000,564612.57200000,1675987199999,178897753.69560000,347884,268605.79300000,85151477.14380000,0
1675987200000,306.20000000,309.20000000,302.50000000,305.80000000,295784.97600000,1676073599999,90651947.93410000,216851,148040.00000000,45375918.56000000,0
1676073600000,305.90000000,311.40000000,305.10000000,310.40000000,154488.76100000,1676159999999,47628388.94480000,134396,78224.37000000,24117160.96810000,0
1676160000000,310.50000000,321.00000000,306.00000000,312.60000000,291500.27000000,1676246399999,91485948.21070000,197310,145272.96900000,45597299.21370000,0
1676246400000,312.60000000,315.70000000,282.80000000,294.30000000,1065985.59400000,1676332799999,314960864.80880000,466340,519155.78100000,153358925.91780000,0
1676332800000,294.30000000,301.70000000,289.80000000,296.20000000,494698.65400000,1676419199999,145777145.53910000,271930,243795.77400000,71913189.34970000,0
1676419200000,296.20000000,317.70000000,294.00000000,317.40000000,465921.94300000,1676505599999,142051141.65700000,261857,248783.12600000,75882418.31340000,0
1676505600000,317.50000000,327.80000000,303.90000000,304.40000000,858141.89000000,1676591999999,273631508.40290000,477037,435583.81700000,139023786.56250000,0
1676592000000,304.40000000,317.50000000,302.80000000,313.00000000,508736.19300000,1676678399999,157933829.21780000,314781,257841.99500000,80061812.10050000,0
1676678400000,313.00000000,319.20000000,312.90000000,316.50000000,282485.39000000,1676764799999,89264567.98370000,210115,139079.91600000,43957198.73060000,0
1676764800000,316.60000000,318.90000000,310.30000000,311.50000000,336004.27400000,1676851199999,105898919.48690000,271165,169820.99500000,53546464.61910000,0
1676851200000,311.50000000,319.80000000,308.00000000,315.40000000,514483.79700000,1676937599999,162561577.72910000,332108,264832.09600000,83707489.79710000,0
1676937600000,315.50000000,317.40000000,309.30000000,311.50000000,385161.29700000,1677023999999,120775804.85290000,299905,184687.74400000,57928308.56350000,0
1677024000000,311.50000000,312.90000000,303.20000000,312.40000000,368344.98600000,1677110399999,113217908.51720000,285011,177386.44000000,54520900.68670000,0
1677110400000,312.50000000,315.30000000,305.80000000,308.30000000,300641.24100000,1677196799999,93188074.38300000,225358,150722.69300000,46739597.13840000,0
1677196800000,308.30000000,312.10000000,298.60000000,302.30000000,328726.40000000,1677283199999,100468727.72210000,249902,158161.00300000,48357381.43620000,0
1677283200000,302.30000000,303.00000000,295.50000000,302.40000000,178538.40800000,1677369599999,53640769.21590000,166704,85688.24000000,25750544.30410000,0
1677369600000,302.50000000,309.80000000,300.70000000,308.70000000,151419.16600000,1677455999999,46179503.18080000,141711,79483.07300000,24245196.48230000,0
1677456000000,308.70000000,309.40000000,300.50000000,304.60000000,234405.82100000,1677542399999,71433037.06520000,187654,117385.55400000,35769446.44240000,0
1677542400000,304.70000000,305.70000000,300.00000000,301.40000000,186649.19200000,1677628799999,56536923.34190000,172220,90548.37400000,27434976.97220000,0
1677715200000,302.60000000,303.80000000,295.80000000,299.80000000,200964.84200000,1677801599999,60082927.51130000,167725,96477.48800000,28847544.94320000,0
1677801600000,299.80000000,300.00000000,286.60000000,290.40000000,266627.56400000,1677887999999,77375815.20970000,231651,122861.96400000,35650839.97940000,0
1677888000000,290.50000000,291.50000000,285.80000000,289.60000000,127846.86500000,1677974399999,36979790.81000000,127605,63472.63700000,18363457.29260000,0
1677974400000,289.60000000,292.80000000,287.40000000,288.70000000,128456.55900000,1678060799999,37300395.74920000,123618,65382.77700000,18988295.17050000,0
1678060800000,288.80000000,289.70000000,283.30000000,287.80000000,205220.75700000,1678147199999,58782996.21490000,156193,102980.02000000,29502304.97850000,0
1678147200000,287.90000000,290.50000000,283.40000000,289.30000000,200611.35700000,1678233599999,57609359.99660000,167501,99790.54900000,28660841.43160000,0
1678233600000,289.30000000,294.30000000,285.10000000,287.10000000,260938.37400000,1678319999999,75356809.04940000,203992,125910.14800000,36361291.89150000,0
1678320000000,287.10000000,291.40000000,271.20000000,277.10000000,318996.85100000,1678406399999,90265165.22060000,256816,149606.07800000,42347601.97660000,0
1678406400000,277.10000000,278.10000000,265.00000000,277.40000000,404292.97200000,1678492799999,110074568.54160000,282834,211108.87200000,57482240.50370000,0
